10	0.0000
30	0.0000
50	0.0000
70	0.0150
90	0.0000
110	0.0160
130	0.0150
150	0.0160
170	0.0160
190	0.0160
210	0.0320
230	0.0310
250	0.0470
270	0.0470
290	0.0630
310	0.0780
330	0.0930
350	0.1090
370	0.1410
390	0.1560
410	0.1710
430	0.2030
450	0.2340
470	0.2650
490	0.3130
510	0.3440
530	0.3910
550	0.4380
570	0.4840
590	0.5470
610	0.5930
630	0.6410
650	0.7190
670	0.7810
690	0.8590
710	0.9220
730	1.0160
750	1.0930
770	1.1870
790	1.2810
810	1.3750
830	1.4840
850	1.5930
870	1.7190
890	1.8430
910	1.9530
930	2.0940
950	2.2340
970	2.3750
990	2.5310
1000	2.6250
1150	4.0470
1300	6.0000
1450	7.9690
1600	10.7030
1750	14.1100
1900	18.8750
2400	36.7180
2600	46.0780
2800	57.5310
2950	66.7810
3000	70.7340
3500	113.2500
4000  168.0310
4975	320.4840
